text	category	priority
Power backup in exam hall fails during power cut	Infrastructure	High
Placement team does not share rejected company names	Placement	Medium
College app does not send notifications reliably	Administration	Medium
शौचालय में नल से पानी नहीं आता	Infrastructure	High
कक्षा में माइक्रोफोन हमेशा खराब रहता है	Infrastructure	Medium
প্লেসমেন্টের জন্য শুধু নির্দিষ্ট শাখাকে সুবিধা দেওয়া হচ্ছে	Placement	High
No student involvement in college development plans	Administration	Low
শিক্ষকের ব্যবহার ছাত্রছাত্রীদের সাথে ভালো না	Academics	High
Character certificate not issued before deadline	Administration	High
हॉस्टल में कोई रीडिंग लैम्प नहीं है	Hostel	Low
Campus waste not segregated at source	Environment	Medium
No proper farewell event organized for final year	Extracurricular	Low
Hostel room is too small for two students	Hostel	Low
एग्जाम ड्यूटी के दौरान शिक्षक मोबाइल का उपयोग करते हैं	Academics	High
পোর্টালে একাধিকবার ফি কাটা গেছে	Finance	High
No refresher courses for weak students before exams	Academics	Medium
Theory exam paper was out of syllabus	Academics	High
Students not given reading list before semester begins	Academics	Low
Practical classes held in wrong lab without equipment	Academics	High
Lab practical submission not acknowledged by faculty	Academics	Medium
কোনো অধ্যাপক সময়মতো নম্বর জমা দেন না	Academics	High
बस समय सारिणी ठीक नहीं है	Transport	Medium
No certificate for completing language lab sessions	Academics	Low
Internet cable wiring is exposed and dangerous	Infrastructure	High
No feedback given on submitted assignments	Academics	Medium
প্লেসমেন্ট সেল থেকে কোনো সাড়া পাচ্ছি না	Placement	High
Placement test result not declared after 2 weeks	Placement	High
No provision for storing valuables in hostel	Hostel	Medium
Thesis plagiarism checker access not provided	Academics	Medium
Late submission of report not acceptable even with reason	Academics	Medium
Chemistry lab fumes are affecting students' health	Health	High
No dedicated room for student club activities	Extracurricular	Low
एग्जाम फॉर्म ऑनलाइन नहीं भरा जा सकता	Academics	High
ক্লাসে পর্যাপ্ত আলো নেই পড়াশোনার জন্য	Infrastructure	Medium
Campus map is outdated with wrong building names	Administration	Low
विभाग की वेबसाइट पर पुरानी जानकारी है	Administration	Low
Bus route does not cover the new student accommodation	Transport	Medium
Library remains closed during examination period	Library	High
हॉस्टल के शौचालय में ताला नहीं है	Hostel	High
MOOC credits not reflected in transcript	Academics	High
शिक्षकों का छात्र मूल्यांकन नहीं होता	Academics	Medium
Hostel notice board is empty for weeks	Hostel	Low
प्रयोगशाला में सुरक्षा उपकरण उपलब्ध नहीं हैं	Infrastructure	High
Research scholars have no common workspace	Academics	Medium
Road lights near women's hostel are all broken	Infrastructure	High
No Wi-Fi in outdoor spaces of campus	Infrastructure	Medium
Library book renewal online system is broken	Library	Medium
Faculty contact numbers not shared with students	Administration	Medium
Academic department phone goes unanswered	Administration	Medium
परीक्षा केंद्र पर पर्याप्त बेंच नहीं थे	Infrastructure	High
Hostel electricity cut-off time is too early at 11 PM	Hostel	High
शिक्षक छात्रों के प्रश्नों का उत्तर नहीं देते	Academics	High
स्वास्थ्य बीमा की सुविधा छात्रों को नहीं मिलती	Health	Medium
Diesel generator used excessively on campus	Environment	Low
Lab coat not provided to students despite charging	Academics	High
Hostel roof tank is not covered properly	Hostel	Medium
छात्रों की उपस्थिति पोर्टल पर गलत दिखाई देती है	Academics	High
No covered walkway between departments	Infrastructure	Low
শ্রেণিকক্ষে বসার সিট সংখ্যা কম	Infrastructure	Medium
बस का टाइमटेबल वेबसाइट पर नहीं है	Transport	Low
College bus driver uses phone while driving	Transport	High
No dustbins installed near classroom building	Environment	Low
पुस्तकालय में बैठने की पर्याप्त जगह नहीं है	Library	Medium
Marks moderation process is not transparent	Academics	Medium
Departmental library is locked and inaccessible	Library	High
কলেজ বাসের রুট পরিবর্তন জানানো হয়নি	Transport	High
Revaluation results are taking more than 3 months	Academics	High
Hostel caution deposit not returned at graduation	Finance	High
Classroom microphone system has echo issues	Infrastructure	Low
পরীক্ষার রেজাল্টে কারো নাম নেই ভুলে	Academics	High
Hostel warden absent during medical emergency	Hostel	High
Semester planner not shared with students at start	Academics	Medium
প্লেসমেন্ট ড্রাইভের তথ্য সময়মতো দেওয়া হচ্ছে না	Placement	High
विभाग ने परीक्षाफल आपत्ति दिवस कम रखा है	Academics	High
No Wi-Fi access in hostel common room	Infrastructure	High
नए छात्रों के लिए ओरिएंटेशन कार्यक्रम नहीं हुआ	Administration	Medium
No inter-disciplinary courses offered	Academics	Medium
No backup faculty for sick or absent professor	Academics	High
Faculty does not accept digitally signed documents	Academics	Low
Hostel common room is always locked	Hostel	Medium
बस में सीट से ज्यादा यात्री भरे जाते हैं	Transport	Medium
Bus number not displayed on college bus	Transport	Low
Electricity sockets in classroom are not working	Infrastructure	Medium
Mental health counselor not available on campus	Health	High
অধ্যাপক সময়মতো ক্লাস নেন না	Academics	High
Professor skips chapters without informing students	Academics	High
पार्किंग में रात को सुरक्षा नहीं है	Infrastructure	High
Subject change request ignored by department	Academics	Medium
College email does not work outside campus network	Administration	High
No mentoring system for first-year students	Academics	Medium
Holiday homework assigned without teacher guidance	Academics	Low
Student forum discussions not moderated by faculty	Academics	Low
Internship NOC requires multiple approvals	Placement	Medium
No remedial classes for weak students	Academics	Medium
Lab workbooks not issued at semester start	Academics	Medium
No student representation in academic council	Administration	High
পরীক্ষার রুটিন দেরিতে প্রকাশিত হয়েছে	Academics	High
छात्र संघ चुनाव समय पर नहीं हुए	Extracurricular	Medium
No provision to appeal hostel room allocation	Hostel	Medium
No online grievance tracking system	Administration	High
कैंपस में ATM की सुविधा बंद है	Infrastructure	Medium
শিক্ষার্থীদের ফিডব্যাক পোর্টাল কাজ করছে না	Administration	Medium
Conference room not available for student presentations	Infrastructure	Medium
No student support for GATE exam preparation	Academics	Medium
Music room is locked and not accessible to students	Extracurricular	Medium
No clean changing room near sports ground	Extracurricular	Medium
परीक्षा के दिन पावर बैकअप फेल हो गया	Infrastructure	High
Electricity bill deducted from fee without notice	Finance	Medium
বৃত্তির টাকা সঠিক সময়ে আসছে না	Finance	High
मार्कशीट में सेमेस्टर गलत लिखा हुआ है	Academics	High
परीक्षा पंजीकरण की अंतिम तारीख बहुत कम रखी गई	Academics	High
सेमेस्टर के अंत में प्रोफेसर सिलेबस पूरा नहीं करते	Academics	High
No provision to appeal an academic suspension	Administration	High
Mess advance payment not refunded after hostel exit	Finance	High
Campus fire alarm is not tested regularly	Infrastructure	High
No notification system for scholarship result	Finance	Medium
Cafeteria food causes stomach ailments frequently	Health	High
No group study room in library	Library	Medium
হোস্টেলের রুম বরাদ্দ প্রক্রিয়া স্বচ্ছ নয়	Hostel	Medium
AC bus allotted to staff only, not students	Transport	Medium
প্রশাসনিক কার্যালয়ে দীর্ঘ লাইন প্রতিদিন	Administration	Medium
Department exam schedule conflicts with college exam	Academics	High
ক্যাম্পাসে রাতের আলো পর্যাপ্ত নয়	Infrastructure	High
हॉस्टल में जेनरेटर रात को बंद हो जाता है	Hostel	High
प्रयोगशाला में रसायन पुराने और एक्सपायर हो गए हैं	Academics	High
No communication from HOD on student queries	Administration	High
Teacher plays videos in class instead of teaching	Academics	Medium
প্রাত্যহিক নামাজের জন্য কোনো ঘর নেই	Infrastructure	Low
प्रयोगशाला में कोई प्रशिक्षित कर्मचारी नहीं है	Academics	High
Exam paper leaked and re-exam not announced	Academics	High
College feedback form has biased questions only	Administration	Medium
ক্লাসরুমে মাইক্রোফোন কাজ করে না	Infrastructure	Medium
प्रयोगशाला में इंटरनेट की सुविधा नहीं है	Infrastructure	High
Electricity bill charged separately from hostel fee	Finance	Medium
বাস রুট পরিবর্তন করা হয়েছে জানানো ছাড়াই	Transport	High
No gym access for female students	Extracurricular	Medium
शिक्षक परीक्षा में अनुचित प्रश्न पूछते हैं	Academics	Medium
Admission verification documents not returned after process	Administration	Medium
No formal complaint mechanism against faculty	Administration	High
পরীক্ষার হলে পর্যাপ্ত টেবিল নেই	Infrastructure	Medium
बस चालक बहुत तेज गाड़ी चलाता है	Transport	High
No periodic review of faculty teaching quality	Academics	High
क्लास में स्मार्ट बोर्ड इंटरनेट से कनेक्ट नहीं होता	Infrastructure	Medium
Waste bins are overflowing near canteen area	Environment	Medium
পরীক্ষার উত্তরপত্র হারানোর অভিযোগ উঠেছে	Academics	High
परिणाम घोषणा के बाद पुनर्मूल्यांकन का विकल्प नहीं	Academics	High
No free sanitary pads available in girls common room	Health	Medium
Cafeteria opens late on exam days	Hostel	Medium
ছাত্রাবাসের কার্যকর অভিযোগ বোর্ড নেই	Hostel	Low
नोटिस बोर्ड पर जानकारी हिंदी में नहीं होती	Administration	Low
ऑनलाइन परीक्षा देते समय पोर्टल क्रैश हो गया	Academics	High
बस का रूट बदल दिया गया लेकिन सूचना नहीं दी	Transport	High
হোস্টেলের আসবাবপত্র অনেক পুরনো এবং ভাঙা	Hostel	Medium
शिक्षण सहायक सामग्री पुरानी और अप्रासंगिक है	Academics	Medium
কলেজের ওয়েবসাইট মোবাইলে ঠিকমতো খোলে না	Administration	Low
No grievance redressal mechanism for students	Administration	High
পরীক্ষার পরে স্ক্রিপ্ট দেখার অনুমতি নেই	Academics	High
Canteen is overcrowded during lunch break	Hostel	Low
Security guard at gate misbehaves with girl students	Administration	High
Exam results released on public holiday causing confusion	Academics	Medium
শিক্ষার্থীদের প্রজেক্ট আইডিয়া চুরি হয়ে গেছে	Academics	High
पुराने छात्रों का नेटवर्क सक्रिय नहीं है	Placement	Medium
No transport for evening classes after 8 PM	Transport	High
Practical exam invigilator arrives 30 minutes late	Academics	Medium
No social media presence for placement updates	Placement	Low
Blockchain technology not included in syllabus	Academics	Low
Canteen does not provide nutritional information	Health	Low
Canteen hygiene has not been inspected recently	Hostel	High
No welcome kit provided to new hostel students	Hostel	Low
পরীক্ষার ফর্ম পূরণের পোর্টাল মাঝে মাঝে ডাউন থাকে	Academics	High
Washroom taps in girls block are leaking	Infrastructure	Medium
मेस में पर्याप्त बर्तन नहीं हैं	Hostel	Low
End-term exam answer sheets not returned to students	Academics	Medium
মার্কশিটে জন্মসাল ভুল লেখা হয়েছে	Academics	High
শ্রেণিকক্ষের দরজা সবসময় আটকে থাকে	Infrastructure	Low
Hostel cleaning staff is insufficient for the floor	Hostel	Medium
पुस्तकालय की किताबें बहुत पुरानी हैं	Library	Medium
No transport reimbursement for off-campus internship	Finance	Medium
कक्षा में स्मार्ट बोर्ड का उपयोग नहीं होता	Infrastructure	Medium
Machine learning lab has no GPU systems	Academics	High
कक्षा में हमेशा बहुत शोर होता है	Infrastructure	Low
मेडिकल सहायता के लिए कोई डॉक्टर उपलब्ध नहीं है	Health	High
हॉस्टल में पर्याप्त रोशनी नहीं है कमरों में	Hostel	Medium
ল্যাবে পানীয় জল নেই	Infrastructure	High
No annual health insurance provided for research scholars	Health	High
Assignment submission link expires before deadline	Academics	High
Students not allowed to use faculty parking in emergency	Infrastructure	Low
गेट से छात्रावास का रास्ता अंधेरे में असुरक्षित है	Infrastructure	High
Mess supervisor does not address hygiene complaints	Hostel	High
ছাত্রাবাসের দরজার তালা ভাঙা	Hostel	High
प्लेसमेंट के लिए कंपनियाँ कम आ रही हैं	Placement	High
গ্রন্থাগারে থিসিস পড়ার আলাদা রুম নেই	Library	Medium
No arrangement for isolated seating in exam for disabled	Academics	High
CGPA required for back paper not communicated	Academics	High
Bus stop near engineering block has no shelter	Transport	Low
क्लास में माइक्रोफोन काम नहीं करता	Infrastructure	Medium
ছাত্রাবাসে গ্যাস লিকেজের সমস্যা আছে	Hostel	High
NSS camp not organized despite students' readiness	Extracurricular	Low
NSS volunteers not issued certificates on time	Extracurricular	Medium
Hostel common room TV is broken	Hostel	Low
Transfer certificate not issued on time	Administration	High
No online booking for campus facilities	Administration	Low
Night security guard sleeps on duty	Infrastructure	High
Photocopy shop is closed on exam days	Infrastructure	High
নতুন ব্যাচের জন্য ওরিয়েন্টেশন সেশন হয়নি	Administration	Medium
পানিতে দুর্গন্ধ পাচ্ছি হোস্টেলে	Hostel	High
Student complaint email bounces back	Administration	High
Student recreation area is always locked	Extracurricular	Medium
Student union office is always locked	Administration	Medium
Class timetable is not available on department website	Academics	High
Guest lecture not announced in advance	Academics	Low
পরীক্ষার আগে মডেল প্রশ্ন দেওয়া হয় না	Academics	Medium
No biometric attendance for hostel	Hostel	Low
Anti-plagiarism software access revoked mid-semester	Academics	High
Scholarship renewal documentation process unclear	Finance	High
रिसर्च पेपर जमा करने का पोर्टल काम नहीं कर रहा	Academics	High
No innovation challenge or hackathon this year	Academics	Low
No installment option available for tuition fees	Finance	High
हॉस्टल में इंटरनेट की गति बहुत धीमी है	Infrastructure	High
স্বাস্থ্যকেন্দ্রে কোনো চিকিৎসক নেই সপ্তাহান্তে	Health	High
Campus app shows wrong exam schedule dates	Administration	High
No reading room available in hostel block	Hostel	Medium
Practical exam cancelled without alternate arrangement	Academics	High
পুরস্কার বিতরণ অনুষ্ঠানে যোগ দিতে পারিনি কারণ জানানো হয়নি	Extracurricular	Medium
ग्रंथालय में शांति का माहौल नहीं है	Library	Medium
No travel allowance for students attending conferences	Finance	Medium
Lab practical marks not shown on mid-term result	Academics	High
इंटर्नशिप के लिए NOC समय पर नहीं मिल रहा	Placement	High
No language support for non-Hindi non-English students	Academics	High
Student health checkup camp not organized this year	Health	Low
College magazine has not been published in 2 years	Extracurricular	Low
গ্রন্থাগারে ই-জার্নালের সুবিধা বন্ধ	Library	High
No support for students applying to foreign universities	Placement	Medium
কলেজ অ্যাপ বারবার ক্র্যাশ করছে	Administration	High
मेस में खाना ठंडा परोसा जाता है	Hostel	Medium
No Wi-Fi network in canteen area	Infrastructure	Medium
विभाग द्वारा गेस्ट लेक्चर की जानकारी देर से दी जाती है	Academics	Low
No provision for online attendance marking by faculty	Academics	Medium
Grading rubric for assignments not shared	Academics	Medium
Classroom projector screen is torn	Infrastructure	Low
Lab practical sessions overlap with theory lectures	Academics	Medium
Hostel fee structure has hidden charges	Finance	High
No proper road crossing facility near campus gate	Infrastructure	High
Syllabus document uploaded on portal has errors	Academics	Medium
No sports scholarship for state-level achievers	Finance	High
Hostel electric geyser has been broken for 2 months	Hostel	Medium
Hostel allotment letter not provided to new students	Administration	Medium
Fee payment portal shows session expired repeatedly	Finance	High
No provision for students to see question paper marking scheme	Academics	Medium
Lab viva conducted without prior intimation	Academics	Medium
Computer lab is available only during working hours	Academics	Medium
No provision for cold water in hostel rooms during summer	Hostel	Medium
গণিত ল্যাবের সফটওয়্যার অনেক পুরনো	Academics	Medium
No transport service during semester break	Transport	Medium
Student portal not mobile responsive on older phones	Administration	Medium
होस्टल में चोरी की घटना हुई लेकिन कोई कार्रवाई नहीं	Hostel	High
Examination branch does not accept online applications	Administration	Medium
No hands-on training in engineering workshops	Academics	Medium
No publication support for research students	Academics	Medium
Mess biometric machine shows error frequently	Hostel	Medium
No newspaper subscription available in library	Library	Low
कैंपस के पास ट्रैफिक जाम की समस्या है	Transport	Medium
Guest visiting hours are very limited	Hostel	Low
Online grievance portal is not functional	Administration	High
No scholarship for students with backlogs	Finance	High
पार्किंग की कोई सुव्यवस्था नहीं है	Infrastructure	Low
शिक्षक समय पर कक्षा में नहीं आते	Academics	High
ছাত্রাবাসে ঘুমানোর পর কামড় দেয় এমন পোকা আছে	Hostel	High
College calendar not distributed to students	Administration	Low
बिना कारण बताए कक्षा रद्द कर दी गई	Academics	Medium
Course enrollment deadline is too short	Academics	Medium
Broken steps near library entrance cause danger	Infrastructure	High
कक्षा में पंखा बहुत शोर करता है	Infrastructure	Low
No central air conditioning in exam hall	Infrastructure	Medium
Online assignment portal sends no confirmation email	Academics	Medium
परीक्षा हॉल में बिजली चली गई और परीक्षा प्रभावित हुई	Infrastructure	High
Student ID cards not renewed for third-year batch	Administration	Medium
Campus road has potholes causing accidents	Infrastructure	High
Transfer of credit from online courses not recognized	Academics	Medium
ছাত্রাবাসে ফার্স্ট এইড বক্স নেই	Health	High
No system to report anonymous safety incidents	Administration	High
कैंटीन के पास कचरे का ढेर लगा है	Environment	Medium
Photography club has no camera equipment provided	Extracurricular	Low
College newsletter has not been published recently	Administration	Low
No orientation for industry-based certification courses	Academics	Low
No dedicated study space outside of library hours	Library	Medium
Bus schedule is different from the one on notice board	Transport	Medium
Online attendance portal shows wrong subject	Academics	High
শিক্ষার্থীদের ইমেইলের কোনো জবাব আসে না	Administration	High
No option to change exam centre location	Academics	Medium
Library does not have audio-visual resources	Library	Low
No orientation for students returning from medical leave	Administration	Medium
शिक्षक ग्रुप प्रोजेक्ट में व्यक्तिगत योगदान नहीं देखते	Academics	Medium
मेस में खाना बनाने वाले अस्वच्छ हैं	Hostel	High
No composting facility for canteen food waste	Environment	Low
कॉलेज की वेबसाइट पर गलत जानकारी है	Administration	Medium
No awareness program for cyber safety on campus	Administration	Medium
Soft skills workshop was cancelled last minute	Academics	Medium
ক্লাসে কোনো শিক্ষার্থী প্রশ্ন করতে পারে না	Academics	Medium
No feedback given after campus placement interviews	Placement	Medium
परीक्षा पर्यवेक्षक का व्यवहार अनुचित था	Academics	High
No feedback mechanism for hostel food quality	Hostel	Low
No rainwater harvesting system on campus	Environment	Low
Tutorial batch size is too large to be effective	Academics	Medium
No notification sent for fee due date	Finance	High
Department social media account is inactive	Administration	Low
মেধাবৃত্তির আবেদন ফর্ম দেওয়া হয়নি সময়মতো	Finance	High
Sports ground is not maintained properly	Extracurricular	Low
Photocopy charges near library are excessive	Finance	Low
College Wi-Fi blocks legitimate educational websites	Infrastructure	High
रात 10 बजे के बाद हॉस्टल की बिजली बंद कर दी जाती है	Hostel	Medium
ক্যাম্পাসে অ্যাম্বুলেন্স প্রয়োজন মতো পাওয়া যায় না	Health	High
হোস্টেল থেকে বের হতে প্রতিদিন পারমিশন লাগছে	Hostel	Medium
मेस में स्वास्थ्यकर खाने का विकल्प नहीं है	Health	Medium
Books ordered from library never arrived	Library	High
Attendance percentage is wrongly calculated	Academics	High
Campus construction disturbs ongoing classes	Infrastructure	Medium
Migration certificate process is very lengthy	Administration	Medium
परिसर में कागज रिसाइक्लिंग की कोई सुविधा नहीं	Environment	Low
Student helpdesk email not replied to in 2 weeks	Administration	High
No provision for charging mobility scooters on campus	Infrastructure	Medium
Campus app does not work on low-end Android phones	Administration	Medium
No peer tutoring initiative started by college	Academics	Low
Study material not available in regional language	Academics	Medium
পরীক্ষার নম্বর আপিল করার কোনো পদ্ধতি নেই	Academics	High
No formal complaint system against hostel staff	Hostel	High
Canteen food contains allergens without labelling	Health	High
Placement blacklist policy is not clearly communicated	Placement	Medium
Exam invigilator refused to give extra answer sheet	Academics	High
No proper training for hostel wardens on mental health	Health	Medium
Hostel room allocation reversed without explanation	Hostel	Medium
Research methodology course is not practical	Academics	Medium
ক্লাসরুমে এসি চালানো হয় না	Infrastructure	Medium
Classroom ceiling fan is making loud noise	Infrastructure	Low
ट्रांसफर सर्टिफिकेट के लिए ज्यादा दस्तावेज मांगे जाते हैं	Administration	Medium
Cockroaches found in hostel dining area	Hostel	High
Campus road lights are broken since months	Infrastructure	High
PhD supervisor not assigned after six months	Academics	High
No scholarship for students pursuing double degrees	Finance	Medium
Room allocated is far from bathroom block	Hostel	Low
No written record of verbal complaints given	Administration	Medium
অডিটোরিয়াম বুকিং প্রক্রিয়া জটিল	Administration	Medium
No collaborative project between departments	Academics	Low
নতুন শিক্ষার্থীদের মেন্টর দেওয়া হয়নি	Academics	Medium
Student ID card not issued after one month	Administration	Medium
Student feedback never acted upon by college	Administration	High
ऑनलाइन परीक्षा के दौरान सर्वर क्रैश हो गया	Academics	High
Students not informed when classes move online	Academics	High
No proper waste segregation in hostel floors	Environment	Medium
No transport helpline number for emergency	Transport	High
शौचालय में सफाई कर्मी नियमित नहीं आते	Infrastructure	High
বাসের মধ্যে নিরাপত্তা নেই মহিলা শিক্ষার্থীদের	Transport	High
अटेंडेंस गलत दर्ज है और शिक्षक सुधारने में रुचि नहीं लेते	Academics	High
Hostel mess food quality has declined significantly	Hostel	Medium
Gym equipment is outdated and some machines broken	Extracurricular	Medium
No accessible parking for faculty with disabilities	Infrastructure	Medium
বাসের টিকিট কাটার মেশিন কাজ করছে না	Transport	Medium
प्लेसमेंट में कुछ शाखाओं को प्राथमिकता दी जाती है	Placement	High
Canteen closed without prior intimation to students	Hostel	Medium
Ambulance service on campus is not operational	Health	High
Hostel gate is not locked at night creating safety risk	Hostel	High
कैंपस में पर्याप्त पेड़-पौधे नहीं हैं	Environment	Low
No provision to verify marks before results declared	Academics	High
Lab attendance register not maintained properly	Academics	Medium
College has no disaster management plan displayed	Administration	High
No proper desk for writing in reading room	Library	Low
Lab equipment booking system is manual and inefficient	Infrastructure	Medium
No proper budget allocation for research scholars	Finance	High
No student representation in hostel committee	Hostel	Low
Bus conductor does not give receipts for fees	Transport	Low
ছাত্রাবাসে নতুন ছাত্রদের স্বাগত অনুষ্ঠান নেই	Hostel	Low
Departmental seminar room double-booked regularly	Administration	Medium
No designated prayer room on campus	Infrastructure	Low
No provision for online mode for supplementary exam	Academics	Medium
बिना सूचना के परीक्षा तारीख बदल दी गई	Academics	High
Mess complaint register is never read by authority	Hostel	Low
Lecture slides not uploaded before class for preparation	Academics	Low
Campus dispensary runs out of medicines frequently	Health	High
College has no green campus policy	Environment	Low
Hostel gate pass system takes more than 1 hour	Hostel	Medium
Exam hall ventilation is insufficient in summer	Infrastructure	High
CGPA not updated after supplementary exam	Academics	High
Campus garden not maintained during academic year	Environment	Low
Oral exam scheduling clashes with written exam	Academics	High
Drama society has no practice room allocated	Extracurricular	Low
Hostel warden changes rules without prior notice	Hostel	Medium
No proper disposal mechanism for lab chemicals	Environment	High
Laundry room machines are out of order	Hostel	Medium
परिसर में सुरक्षा की कमी है, अनजान लोग घुस आते हैं	Infrastructure	High
Exam postponed but rescheduled date not announced	Academics	High
Hostel washroom tiles are broken and slippery	Hostel	High
Research paper submission portal is down	Academics	High
হোস্টেলের গেটে সিসিটিভি নেই	Hostel	High
No student mentoring program for final year students	Academics	Medium
Online course videos are outdated and irrelevant	Academics	Medium
Teacher gives notes in regional language students can't read	Academics	Medium
ফার্মেসি কোর্সে প্র্যাক্টিক্যাল কম আছে	Academics	Medium
সেমিস্টার শেষে কোনো বিদায় অনুষ্ঠান হয়নি	Extracurricular	Low
End-semester exam date clashes with religious holiday	Academics	Medium
Exam question paper font too small to read	Academics	Medium
Lab assistants not trained to operate new equipment	Academics	Medium
CCTV cameras in hostel corridors are not working	Infrastructure	High
পরীক্ষার আগে সিলেবাস শেষ হয়নি	Academics	High
इंटर्नशिप रिपोर्ट जमा करने की कोई ऑनलाइन सुविधा नहीं	Placement	Medium
पुस्तकालय में जर्नल नहीं मिलते हैं	Library	High
ডিজিটাল লাইব্রেরিতে প্রবেশ করা যাচ্ছে না	Library	High
No startup internship opportunities shared	Placement	Medium
Lab session cancelled repeatedly this semester	Academics	High
No silent zone maintained inside the library	Library	Medium
শ্রেণিকক্ষের দেয়াল ভেজা এবং ছত্রাক ধরেছে	Infrastructure	High
Semester registration portal closes too early	Administration	High
Student medical file lost by health center	Health	High
প্রশিক্ষণ বিভাগে যোগাযোগের জন্য কেউ নেই	Placement	High
ক্লাসরুমে শব্দ শুনতে সমস্যা হয়	Infrastructure	Medium
Scholarship amount was credited to wrong account	Finance	High
Digital notice board displays wrong information	Administration	Medium
Bus route map not available at bus stop	Transport	Low
Annual examination results not submitted to university	Academics	High
परिसर में पर्याप्त शौचालय नहीं हैं	Infrastructure	High
एडमिट कार्ड में फोटो गलत है	Academics	High
ছাত্রাবাসে নেটওয়ার্ক সিগন্যাল অনেক দুর্বল	Infrastructure	High
Water cooler near exam hall is not working	Infrastructure	High
Required reference books are always checked out	Library	Medium
পুরস্কার প্রতিযোগিতার তারিখ পরিবর্তিত হয়েছে	Extracurricular	Low
শিক্ষক পাঠদানে পাওয়ারপয়েন্ট নির্ভর	Academics	Medium
ছাত্রাবাসে গরম পানির ব্যবস্থা নেই	Hostel	High
Exit pass process from hostel is too complicated	Hostel	Low
Re-exam result delayed by university end	Academics	High
Assignment portal does not accept PDF format	Academics	Medium
Course material is not available on the LMS	Academics	Medium
Campus map not available for new students	Administration	Low
ছাত্রাবাসের সিলিং ভেঙে পড়েছে	Hostel	High
ছাত্রাবাসে মশার উপদ্রব খুব বেশি	Hostel	Medium
Night warden does not make rounds in hostel	Hostel	High
Student council elections delayed by two months	Extracurricular	Medium
শিক্ষার্থীরা পরীক্ষার ফলাফলে আপিল করতে পারছে না	Academics	High
Medical certificate process is very bureaucratic	Health	Medium
Laboratory rules and safety notice not displayed	Academics	High
Admit card correction request not addressed	Administration	High
No indoor sports facility available on campus	Extracurricular	Medium
सांस्कृतिक कार्यक्रम के लिए हॉल उपलब्ध नहीं कराया गया	Extracurricular	Medium
ক্যান্টিনে পানীয় জলের ব্যবস্থা নেই	Infrastructure	High
Internship completion certificate not accepted on portal	Placement	High
No skill assessment test conducted in first year	Academics	Medium
Campus shuttle service discontinued without notice	Transport	High
Mess server behaves rudely with students	Hostel	Medium
Entrepreneurship cell has no active projects	Placement	Medium
Student helpdesk is not staffed properly	Administration	Medium
Mid-semester exam was rescheduled without notice	Academics	High
No formal student ID verification at exam hall entry	Academics	Medium
Principal's office does not respond to written requests	Administration	High
গবেষণার জন্য আলাদা ল্যাব নেই	Academics	High
पूरे सेमेस्टर में कोई इंडस्ट्री विजिट नहीं हुई	Academics	Low
Practical marks not included in final result	Academics	High
Hostel room windows do not close properly	Hostel	Low
গ্রন্থাগারে বই ইস্যুর সীমা অনেক কম	Library	Medium
Noise from construction disturbs hostel students	Hostel	Medium
No fee waiver for economically weaker students	Finance	High
शारीरिक रूप से दिव्यांग छात्रों के लिए रैंप नहीं है	Infrastructure	High
Borrowing limit of 2 books is too low for research	Library	Medium
নতুন ছাত্রছাত্রীদের জন্য ওরিয়েন্টেশন হয়নি	Administration	Medium
Digital payment system in mess fails regularly	Finance	Medium
Hostel intercom system is not working	Hostel	Low
Hot water supply in hostel stops after 7 AM	Hostel	Medium
Scholarship verification documents stuck in office	Administration	High
Medical leave not granted without physical visit to doctor	Health	Medium
First aid box in lab is empty	Health	High
গ্রন্থাগার কার্ড নবায়নের প্রক্রিয়া জটিল	Library	Low
Mess biometric attendance records incorrect	Hostel	Medium
Exam supplementary result declared after re-admission deadline	Academics	High
कैंटीन में स्वच्छता का पूर्णतः अभाव है	Hostel	High
স্নাতক সনদ পেতে অনেক সময় লাগছে	Administration	High
Backup generator does not start during power cuts	Infrastructure	High
छात्र को बिना कारण बताए परीक्षा में बैठने से रोका गया	Academics	High
College notice board is not updated regularly	Administration	Low
Bus pass not valid for hospital visits	Transport	Medium
ডিপার্টমেন্ট অফিসে সঠিক তথ্য পাওয়া যাচ্ছে না	Administration	Medium
No proper response from examination department	Administration	Medium
Bonafide certificate takes more than 10 days	Administration	High
Online assignment submission shows error after upload	Academics	High
No escalation matrix available for unresolved complaints	Administration	High
No post-exam stress management session organized	Health	Low
বার্ষিক ক্রীড়া প্রতিযোগিতা আয়োজন হয়নি	Extracurricular	Low
No peer counseling program available	Health	Medium
Library scanner is not working for weeks	Library	Medium
College app login fails on iOS devices	Administration	Medium
उच्च शिक्षा के लिए छात्रों को मार्गदर्शन नहीं मिलता	Placement	Medium
পরীক্ষার সময় ঘর বরাদ্দ জানানো হয়নি	Academics	Medium
Late fee is charged even when portal was down	Finance	High
No system for booking faculty office hours online	Academics	Low
Library membership card blocked without reason	Library	High
College has no officially appointed ombudsman	Administration	High
No option to submit handwritten assignments digitally	Academics	Low
No formal tie-up with placement agencies	Placement	Medium
कैंपस में मच्छर बहुत हैं, कोई फॉगिंग नहीं होती	Infrastructure	High
Attendance portal shows absents on public holidays	Academics	High
No gender-neutral washroom on campus	Infrastructure	High
Campus pond is a breeding ground for mosquitoes	Environment	High
No mock interview sessions before placement season	Placement	High
